url,phone_numbers,facebook_links,twitter_x_links,linkedin_links,instagram_links,youtube_links,addresses,error
http://bostonzen.org,,,,,,,,
http://mazautoglass.com,4156264474,,,,,,"230 Bayshore Blvd. San Francisco, CA 94124; 230 Bayshore Blvd.",
http://melatee.com,,,,,,,,AIOHTTP ClientError for http://melatee.com: ClientConnectorDNSError - Cannot connect to host melatee.com:80 ssl:default [getaddrinfo failed]
http://timent.com,,,,,,,,
http://tlalocrivas.com,,https://www.facebook.com/tlalocnyc,https://twitter.com/TlalocRivas,https://www.linkedin.com/in/tlaloc-rivas-2a6b2610,https://www.instagram.com/tlalocnyc,,,
http://creativebusinessassociates.com,,https://www.facebook.com/paula.easton,,,,,,
http://cumberland-river.com,,,,,,,,
http://verdantporch.com,,,,,,,,AIOHTTP ClientError for http://verdantporch.com: ClientConnectorDNSError - Cannot connect to host verdantporch.com:80 ssl:default [getaddrinfo failed]
http://workitstudio.com,,,,,,,,"AIOHTTP ClientError for http://workitstudio.com: TooManyRedirects - 0, message='', url='http://workitstudio.com'"
http://coffee-homemachines.club,,,,,,,,AIOHTTP ClientError for http://coffee-homemachines.club: ClientConnectorDNSError - Cannot connect to host coffee-homemachines.club:80 ssl:default [getaddrinfo failed]
http://mendiolagardening.com,,,,,,,,AIOHTTP ClientError for http://mendiolagardening.com: ClientConnectorDNSError - Cannot connect to host mendiolagardening.com:80 ssl:default [getaddrinfo failed]
http://thestonenc.com,,,,,,,,"AIOHTTP ClientError for http://thestonenc.com: ClientConnectorCertificateError - Cannot connect to host thestonenc.com:443 ssl:True [SSLCertVerificationError: (5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)')]"
http://kansaslimousin.org,66710432; 1235892853935,https://www.facebook.com/groups,,,,,11535 Thomas Rd,
http://kkcger.com,,,,,,,,
http://maddux.pro,,,,,,,,AIOHTTP ClientError for http://maddux.pro: ClientConnectorDNSError - Cannot connect to host maddux.pro:80 ssl:default [getaddrinfo failed]
http://ohanaconsulting.net,,,,,,,,"AIOHTTP ClientError for http://ohanaconsulting.net: ClientConnectorCertificateError - Cannot connect to host ohanaconsulting.net:443 ssl:True [SSLCertVerificationError: (5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)')]"
http://postmodern-strings.com,,,,,,,,
http://takapartners.com,,,,,,,,
http://techbarstore.com,,,,,,,,
http://top-salon-hair-salon.business.site,,,,,,,,"AIOHTTP ClientError for http://top-salon-hair-salon.business.site: ClientResponseError - 404, message='Not Found', url='http://top-salon-hair-salon.business.site'"
http://dolee-rentals.com,2294369620; 2293445037,https://www.facebook.com/DoLee-Rentals-Inc-141860142549724,https://twitter.com/DexYPHQ,,,,,
http://kns-construction.com,,,,,,,,
http://timothyburger.com,,,,,,,,
http://trueaudio.com,,,,,,,,
http://venturemediaagency.com,7325354027,https://www.facebook.com/venturemediadigital,,,https://www.instagram.com/venturemediadigital,,100 Walnut Ave Clark NJ 07066,
http://garrettwietholter.com,3178733230; 8557337333,https://www.facebook.com/153341281385570,,https://www.linkedin.com/in/garrett-wietholter-b5037a88,,https://www.youtube.com/user/watch,,
http://nashvilleucc.org,,,,,,,,
http://outforlifeministries.com,,,,,,https://www.youtube.com/user/watch,,
http://phack.org,,https://www.facebook.com/PHackCon,https://twitter.com/PHackCon,https://www.linkedin.com/company/pacific-hackers-conference,https://www.instagram.com/pacifichackersca,https://www.youtube.com/user/pacifichackers,,
http://potomaccanine.com,,,,,,,,
http://azureskies.com,,,,,,,,
http://couplescounselingatlanta.com,,,,,,,,"AIOHTTP ClientError for http://couplescounselingatlanta.com: ClientResponseError - 409, message='Conflict', url='http://couplescounselingatlanta.com'"
http://philstreeppc.com,,,,,,,,AIOHTTP ClientError for http://philstreeppc.com: ClientConnectorDNSError - Cannot connect to host philstreeppc.com:80 ssl:default [getaddrinfo failed]
http://romanthumbs.com,,,,,,,,AIOHTTP ClientError for http://romanthumbs.com: ClientConnectorDNSError - Cannot connect to host romanthumbs.com:80 ssl:default [getaddrinfo failed]
http://topcropalliance.com,,,,,,,,"AIOHTTP ClientError for http://topcropalliance.com: ClientConnectorCertificateError - Cannot connect to host topcropalliance.com:443 ssl:True [SSLCertVerificationError: (5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)')]"
http://smilesbygateway.com,8178586333,,,,,,4013 Gateway Drive,
http://solarecon.wordpress.com,,,,,,,,
http://johnstons-clothiers.business.site,,,,,,,,"AIOHTTP ClientError for http://johnstons-clothiers.business.site: ClientResponseError - 404, message='Not Found', url='http://johnstons-clothiers.business.site'"
http://ohhappydayshatchetthrowing.com,,,,,,,,AIOHTTP ClientError for http://ohhappydayshatchetthrowing.com: ClientConnectorDNSError - Cannot connect to host ohhappydayshatchetthrowing.com:80 ssl:default [getaddrinfo failed]
http://plumbingbydlt.com,+17139798345; 7139798345,https://www.facebook.com/Plumbing-By-DLT-217036568422674,,,,,,
http://completecaredevelopmentcenter.com,,https://www.facebook.com/CompleteCareDevelopment,,,,,,
http://kaleofamilies.org,,,,,,,,
http://monahanclinics.com,32177328; 9048248353; +3863282710; +9048248353; 32080824,https://www.facebook.com/MonahanClinics,,,https://www.instagram.com/monahanchiro_medical,,419 Anastasia Blvd,
http://samantharaiderbrown.com,,,,,,,,
http://beagibbons.com,,,,,,,,AIOHTTP ClientError for http://beagibbons.com: ClientConnectorDNSError - Cannot connect to host beagibbons.com:80 ssl:default [getaddrinfo failed]
http://getranx.com,,,,,,,,
http://iam-boeing.com,,,,,,,,
http://roux30a.com,,https://www.facebook.com/Roux30a,,,https://www.instagram.com/roux30a,,"114 Logan Lane Ste 1A, Santa Rosa Beach FL",
http://1laurellane.com,,,,,,,,AIOHTTP ClientError for http://1laurellane.com: ClientConnectorDNSError - Cannot connect to host 1laurellane.com:80 ssl:default [getaddrinfo failed]
http://airprofork.com,,,,,https://www.instagram.com/airprofork; https://www.instagram.com/p,,,
http://candybartending.com,,https://www.facebook.com/Candythebartender,,,https://www.instagram.com/candybar_bartender,,,
http://kelleyroadrace.com,,,,,,,,
http://marrs-jonesfuneralhome.com,1512237; 5122372425,https://www.facebook.com/MarrsJonesFuneralHomeAllFaithsofthePinesChapel,,,,,,
http://motherssoontobe.com,,,,,,,,AIOHTTP ClientError for http://motherssoontobe.com: ClientConnectorDNSError - Cannot connect to host motherssoontobe.com:80 ssl:default [getaddrinfo failed]
http://palla-siding-and-windows.business.site,,,,,,,,"AIOHTTP ClientError for http://palla-siding-and-windows.business.site: ClientResponseError - 404, message='Not Found', url='http://palla-siding-and-windows.business.site'"
http://propertyguysnj.com,,,,,,,,AIOHTTP ClientError for http://propertyguysnj.com: ClientConnectorDNSError - Cannot connect to host propertyguysnj.com:80 ssl:default [getaddrinfo failed]
http://rcgglobaltv.com,,,,,,,,AIOHTTP ClientError for http://rcgglobaltv.com: ClientConnectorDNSError - Cannot connect to host rcgglobaltv.com:80 ssl:default [getaddrinfo failed]
http://rlosrivera.com,,,,,,,,
http://starcomconsulting.com,,,,,,,,AIOHTTP ClientError for http://starcomconsulting.com: ClientConnectorDNSError - Cannot connect to host starcomconsulting.com:80 ssl:default [getaddrinfo failed]
http://torget.org,,,,,,,,
http://cancersupportdelaware.org,,,,,,,,"AIOHTTP ClientError for http://cancersupportdelaware.org: ClientResponseError - 403, message='Forbidden', url='https://cancersupportdelaware.org/'"
http://cryptohomiesclub.io,,https://www.facebook.com/cryptohomiesnft,https://twitter.com/CRYPTOHOMIES_,,https://www.instagram.com/cryptohomies_,,,
http://jessicaashwellness.com,,https://www.facebook.com/jessicaashwellness,,,https://www.instagram.com/jessicaashwellness,https://www.youtube.com/c/JessicaAshWellness1; https://www.youtube.com/user/playlist,,
http://pctouchservices.com,,https://www.facebook.com/home.php,https://twitter.com/mayisad,,,,,
http://sharonkinghoge.com,,,https://twitter.com/SharonKingHoge,,,,,
http://steppir.com,,,,,,,,
http://highwayonerealestate.com,,,,,,,,AIOHTTP ClientError for http://highwayonerealestate.com: ServerDisconnectedError - Server disconnected
http://minastollery.com,,,,,https://www.instagram.com/electric_skillet,,,
http://amwindowcleaning.org,,,,,,,,"AIOHTTP ClientError for http://amwindowcleaning.org: ClientResponseError - 404, message='Not Found', url='https://www.amwindowcleaning.org/'"
http://cincyscrubs.com,,https://www.facebook.com/cincyscrubs,,,,,4934 Provident Dr,
http://figlass.biz,845354631,,,,,,,
http://horizons.church,+14025125700,https://www.facebook.com/HorizonsCommunityChurch; https://www.facebook.com/groups,,,https://www.instagram.com/horizons_community_church,https://www.youtube.com/c/horizonscommunitychurch; https://www.youtube.com/c/Horizons-community-church; https://www.youtube.com/c/HorizonsCommunityChurch,,
http://mygoodhorse.weebly.com,,https://www.facebook.com/pages,,,,,,
http://wombatworks.org,,https://www.facebook.com/wombatworksllc,https://twitter.com/WombatWorks,,,,,
http://yourhairdynasty.com,,https://www.facebook.com/yourhairdynasty,https://www.twitter.com/yourhairdynasty,,https://www.instagram.com/yourhairdynasty,https://www.youtube.com/user/yourhairdynasty,,
http://alpha-research-associates-research-institute.business.site,,,,,,,,"AIOHTTP ClientError for http://alpha-research-associates-research-institute.business.site: ClientResponseError - 404, message='Not Found', url='http://alpha-research-associates-research-institute.business.site'"
http://annarborhomesrealtor.com,3137177788,https://www.facebook.com/maurarains1,,,,,"<a href=""/home-for-sale/3097-Turnberry-Lane-Ann-Arbor-MI-48108/20251002841-MIRC"" class=""d-block"" title=""View property at 3097 Turnberry Lane Ann Arbor, MI 48108"">; <a href=""/home-for-sale/7160-Warwick-Drive-Ypsilanti-MI-48197/20251003936-MIRC"" class=""d-block"" title=""View property at 7160 Warwick Drive Ypsilanti, MI 48197"">; <a href=""/home-for-sale/2100-Tuomy-Road-Ann-Arbor-MI-48104/25026148-MISWMRIC"" class=""d-block"" title=""View property at 2100 Tuomy Road Ann Arbor, MI 48104"">; 2765 Polson Street; 3097 Turnberry Lane; 7160 Warwick Drive; 2100 Tuomy Road; <a href=""/home-for-sale/2765-Polson-Street-Ann-Arbor-MI-48105/25026124-MISWMRIC"" class=""d-block"" title=""View property at 2765 Polson Street Ann Arbor, MI 48105"">",
http://astepabovemb.com,,https://www.facebook.com/A-Step-Above-Flooring-810287332403927,https://twitter.com/AStepAboveMB,,https://www.instagram.com/astepaboveflooring,https://www.youtube.com/channel/UCfnhlL-4YRhTqg5w1GQ9Zkw,"721 Sandy Ln. Unit F; 721 Sandy Ln Unit F • Myrtle Beach, SC 29575",
http://buchanan-edwards.online,,,,,,,,
http://busiup.com,,,,,,,,AIOHTTP ClientError for http://busiup.com: ClientConnectorDNSError - Cannot connect to host busiup.com:80 ssl:default [getaddrinfo failed]
http://clockinc.org,,https://www.facebook.com/designs.chasing; https://www.facebook.com/clock.inc.qc,https://twitter.com/clockincLGBT,https://www.linkedin.com/in/clockinc,https://www.instagram.com/clockinclgbt,,,
http://oceancurrent.com,39810173534; 41596074590; 42111291130; 41697413464; 41808282517; 42111291162; 39810174451; 42083787276; 41808267149; 41719610933; 41719758454; 41588990935; 41719668408; 41719758487; 42083523231; 41808308240; 41697908621; 41588991000; 41764048830; 39810174058; 42214319390; 41764051845; 39810176581; 41808298475; 41719750066; 41763986702; 41808282452; 41709993164; 42083861364; 42085728026; 41719668375; 41697413497; 39810174386; 41719610867; 42083777937; 39810176680; 42214257983; 41697411137; 41719670931; 39810175434; 42083787309; 41588991033; 41697411236; 42085728092; 42214258081; 42083851337; 39810174124; 41764048732; 42083638870; 42214348488; 41697406812; 42083523297; 39810174353; 39810175467; 41697413562; 41719758422; 42214348554; 41719745446; 39810173370; 41709993230; 41764051910; 42111333171; 41764051943; 41869736509; 41808282419; 39810176417; 42214348456; 41763974873; 39810174419; 41808308142; 41697908588; 41869736411; 41719758520; 41763974971; 41588821033; 41753452904; 39810173632; 42083851403; 41808298442; 41753452871; 41588821000; 42083778035; 41763986735; 39810175533; 41719610835; 41808267215; 41697411203; 41808308207; 42083523330; 41719610900; 41763974906; 39810174582; 41763974938; 39810173403; 41719750099; 41764051878; 41719670964; 41709993263; 42083638935; 41808298508; 41697406746; 42083851370; 39810175500; 39810176352; 41719750131; 39810174550; 42083861332; 42083787342; 39810176319; 39810176385; 41596074655; 41709993197; 41763986636; 39810176647; 42111291064; 42083861397; 41588990967; 42083523264; 41753452839; 39810174517; 41719671029; 42083787374; 42214319358; 42111333138; 39810174025; 42111291097; 42214266896; 41719668474; 41719745478; 41808282484; 42214258049; 42214266863; 41764048765; 42214266962; 41763986669; 41719750164; 41697406714; 41808308175; 41719745413; 41697411170; 42083638902; 41596074623; 42083861430; 41588820967; 41719670997; 42083777970; 42111333204; 41808267182; 42214348521; 41697908523; 41596074557; 42214258016; 41753452773; 42083851305; 41697908555; 41697406779; 39810173436; 41588821065; 41753452806; 41808267116; 41719745380; 39810174615; 39810173567; 39810173468; 39810173599; 42083778003; 42111333105; 42214319325; 41869736476; 42083638837; 42085727994; 39810174091; 42214319423; 42214266929; 41764048797; 41869736444; 41808298541; 41697413529; 42085728059; 41719668441; 39810176614,https://www.facebook.com/oceancurrent,,,https://www.instagram.com/oceancurrent,,,
http://arnoldprint.com,7173925491,,,,,,"53 Eastman Ave,",
http://deepdivecounseling.net,,,,,,,,
http://forcht-law.com,,,,,,,,Request to http://forcht-law.com timed out after 15s
http://graciejoplin.com,,https://www.facebook.com/Ghettotacos417; https://www.facebook.com/rob.gaul.3; https://www.facebook.com/jason.rios.16547008; https://www.facebook.com/profile.php; https://www.facebook.com/zach.lawson.54; https://www.facebook.com/shiloh.burchfield; https://www.facebook.com/graciejoplin,,,,,,
http://itpc-usa.com,,https://www.facebook.com/wix,https://www.twitter.com/wix,,https://www.instagram.com/wix,,,
http://scienceeducators.org,,,,,,,,AIOHTTP ClientError for http://scienceeducators.org: ClientConnectorDNSError - Cannot connect to host scienceeducators.org:80 ssl:default [getaddrinfo failed]
http://directdrivelogistics.com,,,,,,,"Copyright © 2025 Direct Drive Logistics, Inc.",
http://gsbphoto.com,,,,,,,,
http://pinehavenresort.com,,https://www.facebook.com/NorLightsCasino; https://www.facebook.com/login; https://www.facebook.com/bearpausetheater; https://www.facebook.com/HackCFC; https://www.facebook.com/Pine-Haven-Resort-on-Blackwater-Lake-130381357029056,,,,,,
http://cavachonsofoklahoma.com,,,,,,,,
http://fuecid.shop,,,,,,,,AIOHTTP ClientError for http://fuecid.shop: ClientConnectorDNSError - Cannot connect to host fuecid.shop:80 ssl:default [getaddrinfo failed]
http://janellesrestaurant.com,,,,,,,,AIOHTTP ClientError for http://janellesrestaurant.com: ClientConnectorDNSError - Cannot connect to host janellesrestaurant.com:80 ssl:default [getaddrinfo failed]
http://peacefulwolftaichi.com,,,,,,,,
http://uomosport.com,3102050407,https://www.facebook.com/UOMOSPORT2016,https://twitter.com/uomo_sport,https://www.linkedin.com/company/uomo-sport,https://www.instagram.com/uomo_sport,,,
http://warnby.com,,,,,,,,AIOHTTP ClientError for http://warnby.com: ClientConnectorDNSError - Cannot connect to host warnby.com:80 ssl:default [getaddrinfo failed]
http://antiochassistedliving.com,,,,,,,,
http://davidprieto.realestate,+8184223831; 8184223831; 91316422,https://www.facebook.com/DPREServices,https://twitter.com/share,https://www.linkedin.com/in/david-prieto-0a908330,,,"17404 Ventura Blvd. Unit 110, Encino, CA 91316; 18750 Keswick Street",
http://gygeneralservices.business.site,,,,,,,,"AIOHTTP ClientError for http://gygeneralservices.business.site: ClientResponseError - 404, message='Not Found', url='http://gygeneralservices.business.site'"
http://kickitupquilting.com,,https://www.facebook.com/KickItUpQuilting,,,https://www.instagram.com/kickitupquilting,,,
http://koimountain.com,,,,,,,,"Skipping http://koimountain.com, not HTML (type: )"
http://pinolevistareimagined.com,,,,,,,,
http://seamuspuppy.com,,,,,,,,
http://aop3d.com,,https://www.facebook.com/AOPthreeD,,,https://www.instagram.com/aop3d,,,
http://off-trail.co,,,,,https://www.instagram.com/offtrail.co,,,
http://proexecstaffing.com,7132482245,https://www.facebook.com/proexecstaffing,https://twitter.com/exec_pro,https://www.linkedin.com/company/pro-exec-staffing,,,,
http://stewartgrain.com,,,,,,,,
http://truyasushica.com,4082444534,,,,,,,
http://yingtexun.com,,,,,,,,Request to http://yingtexun.com timed out after 15s
http://camilluscusecamp.com,,,,,,,,
http://hyhp.org,,https://www.facebook.com/hawaiiyhp,,https://www.linkedin.com/company/hyhp,https://www.instagram.com/hawaiiyhp,,,
http://rrrobotictec.com,,,,,,,,AIOHTTP ClientError for http://rrrobotictec.com: ClientConnectorDNSError - Cannot connect to host rrrobotictec.com:80 ssl:default [getaddrinfo failed]
